1 : ALMIRA RURAL,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,40,LINCOLN,53043,LINCOLN,53043,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : ALTO,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,18,COLUMBIA,53013,COLUMBIA,53013,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : ALTO,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,65,COLUMBIA,53013,COLUMBIA,53013,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : ANATONE,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,57,ASOTIN,53003,ASOTIN,53003,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : ANATONE,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,138,ASOTIN,53003,ASOTIN,53003,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : BALEVILLE,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,51,PACIFIC,53049,PACIFIC,53049,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : BALEVILLE,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,63,PACIFIC,53049,PACIFIC,53049,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : CAMDEN,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,63,PEND OREILLE,53051,PEND OREILLE,53051,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : CAMDEN,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,207,PEND OREILLE,53051,PEND OREILLE,53051,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : CLE ELUM 1,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,85,KITTITAS,53037,KITTITAS,53037,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : CLE ELUM 1,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,170,KITTITAS,53037,KITTITAS,53037,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : PCT 001,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,13,FRANKLIN,53021,FRANKLIN,53021,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1 : PCT 001,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,9,FRANKLIN,53021,FRANKLIN,53021,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BELLEMONT,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,521,SNOHOMISH,53061,SNOHOMISH,53061,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BELLEMONT,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,218,SNOHOMISH,53061,SNOHOMISH,53061,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 31,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,330,SNOHOMISH,53061,SNOHOMISH,53061,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 31,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,203,SNOHOMISH,53061,SNOHOMISH,53061,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 32,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,306,SNOHOMISH,53061,SNOHOMISH,53061,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 32,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,146,SNOHOMISH,53061,SNOHOMISH,53061,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 33,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,346,SNOHOMISH,53061,SNOHOMISH,53061,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 33,US SENATE,REPUBLICAN,REPUBLICAN,TOTAL,220,SNOHOMISH,53061,SNOHOMISH,53061,SUSAN HUTCHISON,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
1.01E+07 : BOTHELL 34,US SENATE,DEMOCRAT,DEMOCRAT,TOTAL,322,SNOHOMISH,53061,SNOHOMISH,53061,MARIA CANTWELL,STATEWIDE,1.0,SENATE,2018,GEN,WASHINGTON,FALSE,FALSE,WA,53,91,73,2018-11-06,FALSE
